image,instances,positive_pixels,predicted_pixels,inference_seconds,tp,fp,fn,tn,precision,recall,specificity,iou,dice,pixel_accuracy
Image_20260714162350825_p061_x2304_y1920.jpg,3,3380,2969,0.06328803099995639,2385,584,995,258180,0.8033007746716067,0.7056213017751479,0.9977431172806109,0.601664984863774,0.75129941723106,0.9939765930175781
Image_20260714162350825_p062_x2688_y1920.jpg,1,116,145,0.060666351000008945,112,33,4,261995,0.7724137931034483,0.9655172413793104,0.9998740592608424,0.7516778523489933,0.8582375478927203,0.9998588562011719
Image_20260714162350825_p070_x1536_y2304.jpg,0,0,0,0.05692597899997054,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714162350825_p078_x0384_y2560.jpg,0,0,0,0.054831745999990744,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714162350825_p080_x1152_y2560.jpg,0,0,0,0.05779429400013214,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p011_x0000_y0384.jpg,0,0,0,0.06700672900001337,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p019_x3072_y0384.jpg,0,0,0,0.05595452100010334,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p026_x1536_y0768.jpg,1,550,795,0.055423732000008386,509,286,41,261308,0.640251572327044,0.9254545454545454,0.9989067027531212,0.6088516746411483,0.7568773234200743,0.9987525939941406
Image_20260714163542414_p027_x1920_y0768.jpg,4,1550,2427,0.057412531999943894,1538,889,12,259705,0.6337041615162753,0.9922580645161291,0.9965885630521041,0.6305863058630586,0.773447322102087,0.9965629577636719
Image_20260714163542414_p028_x2304_y0768.jpg,4,1826,2745,0.0576163020000422,1674,1071,152,259247,0.6098360655737705,0.9167579408543264,0.9958858012123634,0.577839143942009,0.7324436665937432,0.9953346252441406
Image_20260714163542414_p029_x2688_y0768.jpg,0,134,0,0.05713551199983158,0,0,134,262010,0.0,0.0,1.0,0.0,0.0,0.9994888305664062
Image_20260714163542414_p031_x3456_y0768.jpg,0,0,0,0.05985694399987551,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p032_x3584_y0768.jpg,0,0,0,0.05928811900002984,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p037_x1536_y1152.jpg,3,2636,2516,0.05961100400008945,2176,340,460,259168,0.8648648648648649,0.8254931714719271,0.9986898284445952,0.7311827956989247,0.84472049689441,0.9969482421875
Image_20260714163542414_p038_x1920_y1152.jpg,0,0,0,0.058200606000127664,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p039_x2304_y1152.jpg,1,1723,1507,0.06286662499996964,1022,485,701,259936,0.6781685467816855,0.5931514799767846,0.9981376309898203,0.4628623188405797,0.6328173374613003,0.9954757690429688
Image_20260714163542414_p040_x2688_y1152.jpg,1,1789,1583,0.05703319200006263,1083,500,706,259855,0.6841440303221731,0.6053661263275573,0.9980795452363119,0.47313237221494103,0.6423487544483986,0.9953994750976562
Image_20260714163542414_p044_x0000_y1536.jpg,0,0,0,0.058534718999908364,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p045_x0384_y1536.jpg,0,0,0,0.06275082700017265,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p048_x1536_y1536.jpg,2,1065,1620,0.05977516799998739,1006,614,59,260465,0.6209876543209877,0.9446009389671362,0.9976482214195703,0.5991661703394878,0.7493482309124767,0.9974327087402344
Image_20260714163542414_p049_x1920_y1536.jpg,2,1158,1544,0.05942953800013129,1045,499,113,260487,0.6768134715025906,0.9024179620034543,0.9980880200470523,0.6306578153289076,0.7735011102886751,0.9976654052734375
Image_20260714163542414_p050_x2304_y1536.jpg,4,2442,3127,0.058839717999944696,2370,757,72,258945,0.7579149344419571,0.9705159705159705,0.99708512063827,0.7408565176617693,0.8511402406177051,0.9968376159667969
Image_20260714163542414_p051_x2688_y1536.jpg,1,505,607,0.0590799330000209,478,129,27,261510,0.7874794069192751,0.9465346534653465,0.9995069542384736,0.7539432176656151,0.8597122302158273,0.9994049072265625
Image_20260714163542414_p054_x3584_y1536.jpg,0,0,0,0.05906174500000816,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p060_x1920_y1920.jpg,2,815,795,0.0703857240000616,685,110,130,261219,0.8616352201257862,0.8404907975460123,0.9995790746530235,0.7405405405405405,0.8509316770186336,0.99908447265625
Image_20260714163542414_p061_x2304_y1920.jpg,2,815,777,0.0628259390000494,677,100,138,261229,0.8712998712998713,0.8306748466257668,0.9996173405936578,0.7398907103825136,0.8505025125628141,0.9990921020507812
Image_20260714163542414_p063_x3072_y1920.jpg,0,0,0,0.06253140400008306,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p065_x3584_y1920.jpg,0,0,0,0.06723997600010989,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p067_x0384_y2304.jpg,0,0,0,0.06322211499991681,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p071_x1920_y2304.jpg,0,0,0,0.06412290699995538,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p076_x3584_y2304.jpg,0,0,0,0.05763950100003967,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p080_x1152_y2560.jpg,0,0,0,0.05924260599999798,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p083_x2304_y2560.jpg,0,0,0,0.06607608300009815,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714163542414_p086_x3456_y2560.jpg,0,0,0,0.0615019960000609,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p000_x0000_y0000.jpg,0,0,0,0.06375558199988518,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p001_x0384_y0000.jpg,0,0,0,0.05710286599992287,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p005_x1920_y0000.jpg,0,0,0,0.06050668400007453,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p006_x2304_y0000.jpg,0,0,0,0.05681574699997327,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p016_x1920_y0384.jpg,0,773,0,0.06379925799978992,0,0,773,261371,0.0,0.0,1.0,0.0,0.0,0.9970512390136719
Image_20260714164245562_p018_x2688_y0384.jpg,0,0,0,0.061079257000073994,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p026_x1536_y0768.jpg,1,1626,1410,0.058385518000022785,1245,165,381,260353,0.8829787234042553,0.7656826568265682,0.9993666464505332,0.695142378559464,0.8201581027667985,0.9979171752929688
Image_20260714164245562_p027_x1920_y0768.jpg,2,3459,2225,0.06085907900001075,1906,319,1553,258366,0.856629213483146,0.5510263081815554,0.9987668399791252,0.5044997353096876,0.6706544686840253,0.99285888671875
Image_20260714164245562_p028_x2304_y0768.jpg,0,714,0,0.056367084999919825,0,0,714,261430,0.0,0.0,1.0,0.0,0.0,0.9972763061523438
Image_20260714164245562_p032_x3584_y0768.jpg,0,0,0,0.05646708400013267,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p035_x0768_y1152.jpg,0,0,0,0.05445824699995683,0,0,0,262144,0.0,0.0,1.0,0.0,0.0,1.0
Image_20260714164245562_p036_x1152_y1152.jpg,4,907,1139,0.0555808110000271,840,299,67,260938,0.7374890254609306,0.9261300992282249,0.9988554454384333,0.6965174129353234,0.8211143695014663,0.9986038208007812
Image_20260714164245562_p037_x1536_y1152.jpg,5,2428,3056,0.06011026699979993,2293,763,135,258953,0.75032722513089,0.9443986820428336,0.9970621756072017,0.7185835161391413,0.8362509117432531,0.9965744018554688
Image_20260714164245562_p038_x1920_y1152.jpg,1,293,135,0.05861326800004463,121,14,172,261837,0.8962962962962963,0.4129692832764505,0.9999465344795323,0.3941368078175896,0.5654205607476636,0.9992904663085938
